,icon,maxscore,certified fresh,fresh/rotten,genre(s),imdb score,likes,movie id,movie name,time period,release year,score,scorer
167,CRITIC ROTTEN,100,0,rotten,"Comedy,Drama,Romance",59,170.0,28,200 Cigarettes,1995,1999,28,critic
190,AUDIENCE ROTTEN,100,0,rotten,"Action,Adventure,Sci-Fi",58,2123.0,29,2012,2005,2009,46,audience
191,CRITIC ROTTEN,100,0,rotten,"Action,Adventure,Sci-Fi",58,2123.0,29,2012,2005,2009,40,critic
200,AUDIENCE FRESH,100,1,fresh,"Crime,Drama,Thriller",77,1451.0,30,21 Grams,2000,2003,86,audience
201,CERTIFIED FRESH,100,1,fresh,"Crime,Drama,Thriller",77,1451.0,30,21 Grams,2000,2003,80,critic
220,AUDIENCE FRESH,100,1,fresh,"Biography,Comedy,Drama",74,311.0,31,24 Hour Party People,2000,2002,87,audience
221,CERTIFIED FRESH,100,1,fresh,"Biography,Comedy,Drama",74,311.0,31,24 Hour Party People,2000,2002,86,critic
232,AUDIENCE FRESH,100,1,fresh,Drama,77,1282.0,32,25th Hour,2000,2002,85,audience
233,CERTIFIED FRESH,100,1,fresh,Drama,77,1282.0,32,25th Hour,2000,2002,78,critic
258,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Romance",61,2198.0,33,27 Dresses,2005,2008,57,audience
259,CRITIC ROTTEN,100,0,rotten,"Comedy,Romance",61,2198.0,33,27 Dresses,2005,2008,41,critic
266,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Drama",60,189.0,34,28 Days,2000,2000,50,audience
267,CRITIC ROTTEN,100,0,rotten,"Comedy,Drama",60,189.0,34,28 Days,2000,2000,31,critic
280,AUDIENCE FRESH,100,0,rotten,Drama,69,97.0,35,2:37,2005,2006,72,audience
281,CRITIC ROTTEN,100,0,rotten,Drama,69,97.0,35,2:37,2005,2006,38,critic
288,AUDIENCE ROTTEN,100,0,rotten,"Action,Comedy,Family",52,117.0,36,3 Ninjas,1990,1992,52,audience
289,CRITIC ROTTEN,100,0,rotten,"Action,Comedy,Family",52,117.0,36,3 Ninjas,1990,1992,32,critic
318,AUDIENCE ROTTEN,100,0,rotten,"Family,Comedy,Action",44,,37,3 Ninjas Kick Back,1990,1994,40,audience
319,CRITIC ROTTEN,100,0,rotten,"Family,Comedy,Action",44,,37,3 Ninjas Kick Back,1990,1994,15,critic
320,AUDIENCE ROTTEN,100,0,rotten,"Action,Adventure,Comedy",28,,38,3 Ninjas: High Noon at Mega Mountain,1995,1998,28,audience
321,CRITIC ROTTEN,100,0,rotten,"Action,Adventure,Comedy",28,,38,3 Ninjas: High Noon at Mega Mountain,1995,1998,0,critic
322,AUDIENCE FRESH,100,0,rotten,Comedy,41,,39,3 Strikes,2000,2000,65,audience
323,CRITIC ROTTEN,100,0,rotten,Comedy,41,,39,3 Strikes,2000,2000,0,critic
324,AUDIENCE FRESH,100,0,fresh,"Drama,Mystery,Thriller",79,112.0,40,3 Women,1975,1977,86,audience
325,CRITIC FRESH,100,0,fresh,"Drama,Mystery,Thriller",79,112.0,40,3 Women,1975,1977,96,critic
338,AUDIENCE ROTTEN,100,0,rotten,Comedy,60,,41,"3, 2, 1... Frankie Go Boom",2010,2012,42,audience
339,CRITIC ROTTEN,100,0,rotten,Comedy,60,,41,"3, 2, 1... Frankie Go Boom",2010,2012,42,critic
340,AUDIENCE ROTTEN,100,0,rotten,"Horror,Thriller",66,,42,30 Days of Night,2005,2007,56,audience
341,CRITIC ROTTEN,100,0,rotten,"Horror,Thriller",66,,42,30 Days of Night,2005,2007,51,critic
342,AUDIENCE ROTTEN,100,0,rotten,"Action,Comedy,Crime",61,,43,30 Minutes or Less,2010,2011,40,audience
343,CRITIC ROTTEN,100,0,rotten,"Action,Comedy,Crime",61,,43,30 Minutes or Less,2010,2011,44,critic
344,AUDIENCE FRESH,100,0,fresh,"Action,Fantasy",77,3693.0,44,300,2005,2006,89,audience
345,CRITIC FRESH,100,0,fresh,"Action,Fantasy",77,3693.0,44,300,2005,2006,60,critic
354,AUDIENCE ROTTEN,100,0,rotten,"Action,Comedy,Crime",59,,45,3000 Miles to Graceland,2000,2001,46,audience
355,CRITIC ROTTEN,100,0,rotten,"Action,Comedy,Crime",59,,45,3000 Miles to Graceland,2000,2001,14,critic
356,AUDIENCE ROTTEN,100,0,rotten,"Action,Fantasy",62,,46,300: Rise of an Empire,2010,2014,51,audience
357,CRITIC ROTTEN,100,0,rotten,"Action,Fantasy",62,,46,300: Rise of an Empire,2010,2014,43,critic
358,AUDIENCE FRESH,100,1,fresh,"Adventure,Crime,Drama",77,,47,3:10 to Yuma,2005,2007,86,audience
359,CERTIFIED FRESH,100,1,fresh,"Adventure,Crime,Drama",77,,47,3:10 to Yuma,2005,2007,89,critic
360,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Romance",56,,48,40 Days and 40 Nights,2000,2002,43,audience
361,CRITIC ROTTEN,100,0,rotten,"Comedy,Romance",56,,48,40 Days and 40 Nights,2000,2002,38,critic
362,AUDIENCE ROTTEN,100,0,rotten,"Crime,Drama",58,,49,44 Inch Chest,2005,2009,36,audience
363,CRITIC ROTTEN,100,0,rotten,"Crime,Drama",58,,49,44 Inch Chest,2005,2009,40,critic
364,AUDIENCE ROTTEN,100,0,rotten,"Drama,Fantasy,Sci-Fi",45,,50,4:44 Last Day on Earth,2010,2011,19,audience
365,CRITIC ROTTEN,100,0,rotten,"Drama,Fantasy,Sci-Fi",45,,50,4:44 Last Day on Earth,2010,2011,48,critic
366,AUDIENCE FRESH,100,0,rotten,"Comedy,Drama,Romance",68,1982.0,51,50 First Dates,2000,2004,65,audience
367,CRITIC ROTTEN,100,0,rotten,"Comedy,Drama,Romance",68,1982.0,51,50 First Dates,2000,2004,44,critic
374,AUDIENCE ROTTEN,100,0,rotten,"Crime,Thriller",64,,52,52 Pick-Up,1985,1986,45,audience
375,CRITIC ROTTEN,100,0,rotten,"Crime,Thriller",64,,52,52 Pick-Up,1985,1986,43,critic
376,AUDIENCE ROTTEN,100,0,rotten,"Drama,Music",58,32.0,53,54,1995,1998,43,audience
377,CRITIC ROTTEN,100,0,rotten,"Drama,Music",58,32.0,53,54,1995,1998,15,critic
386,AUDIENCE ROTTEN,100,0,rotten,"Horror,Mystery,Thriller",61,,54,6 Souls,2010,2010,45,audience
387,CRITIC ROTTEN,100,0,rotten,"Horror,Mystery,Thriller",61,,54,6 Souls,2010,2010,4,critic
388,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Crime",53,,55,8 Heads in a Duffel Bag,1995,1997,34,audience
389,CRITIC ROTTEN,100,0,rotten,"Comedy,Crime",53,,55,8 Heads in a Duffel Bag,1995,1997,11,critic
390,AUDIENCE ROTTEN,100,1,fresh,"Drama,Music",71,1032.0,56,8 Mile,2000,2002,54,audience
391,CERTIFIED FRESH,100,1,fresh,"Drama,Music",71,1032.0,56,8 Mile,2000,2002,76,critic
396,AUDIENCE FRESH,100,0,rotten,"Biography,Drama,Sport",65,36.0,57,8 Seconds,1990,1994,94,audience
397,CRITIC ROTTEN,100,0,rotten,"Biography,Drama,Sport",65,36.0,57,8 Seconds,1990,1994,31,critic
412,AUDIENCE FRESH,100,0,fresh,"Biography,Drama,Romance",75,,58,84 Charing Cross Road,1985,1987,81,audience
413,CRITIC FRESH,100,0,fresh,"Biography,Drama,Romance",75,,58,84 Charing Cross Road,1985,1987,87,critic
414,AUDIENCE ROTTEN,100,0,rotten,"Crime,Drama,Mystery",59,158.0,59,88 Minutes,2005,2007,43,audience
415,CRITIC ROTTEN,100,0,rotten,"Crime,Drama,Mystery",59,158.0,59,88 Minutes,2005,2007,5,critic
438,AUDIENCE ROTTEN,100,0,rotten,"Mystery,Thriller",65,,60,8MM,1995,1999,51,audience
439,CRITIC ROTTEN,100,0,rotten,"Mystery,Thriller",65,,60,8MM,1995,1999,22,critic
440,AUDIENCE ROTTEN,100,0,rotten,"Drama,Music,Romance",48,66.0,61,9 Songs,2000,2004,32,audience
441,CRITIC ROTTEN,100,0,rotten,"Drama,Music,Romance",48,66.0,61,9 Songs,2000,2004,24,critic
446,AUDIENCE ROTTEN,100,0,rotten,"Drama,Thriller",57,,62,96 Minutes,2010,2011,45,audience
447,CRITIC ROTTEN,100,0,rotten,"Drama,Thriller",57,,62,96 Minutes,2010,2011,47,critic
448,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Horror",51,,63,976-EVIL,1985,1988,28,audience
449,CRITIC ROTTEN,100,0,rotten,"Comedy,Horror",51,,63,976-EVIL,1985,1988,9,critic
450,AUDIENCE FRESH,100,0,rotten,"Comedy,Drama",66,,64,A Bag of Hammers,2010,2011,66,audience
451,CRITIC ROTTEN,100,0,rotten,"Comedy,Drama",66,,64,A Bag of Hammers,2010,2011,58,critic
452,AUDIENCE FRESH,100,1,fresh,"Biography,Drama",82,5187.0,65,A Beautiful Mind,2000,2001,93,audience
453,CERTIFIED FRESH,100,1,fresh,"Biography,Drama",82,5187.0,65,A Beautiful Mind,2000,2001,75,critic
466,AUDIENCE FRESH,100,1,fresh,"Drama,Romance",72,,66,A Better Life,2010,2011,79,audience
467,CERTIFIED FRESH,100,1,fresh,"Drama,Romance",72,,66,A Better Life,2010,2011,85,critic
468,AUDIENCE ROTTEN,100,1,fresh,"Drama,Thriller",64,45.0,67,A Bigger Splash,2015,2015,57,audience
469,CERTIFIED FRESH,100,1,fresh,"Drama,Thriller",64,45.0,67,A Bigger Splash,2015,2015,89,critic
472,AUDIENCE ROTTEN,100,1,fresh,"Biography,Drama,Romance",65,332.0,68,A Dangerous Method,2010,2011,50,audience
473,CERTIFIED FRESH,100,1,fresh,"Biography,Drama,Romance",65,332.0,68,A Dangerous Method,2010,2011,77,critic
484,AUDIENCE ROTTEN,100,0,rotten,Comedy,59,,69,A Fantastic Fear of Everything,2010,2012,35,audience
485,CRITIC ROTTEN,100,0,rotten,Comedy,59,,69,A Fantastic Fear of Everything,2010,2012,31,critic
486,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Romance",57,,70,A Few Best Men,2010,2011,36,audience
487,CRITIC ROTTEN,100,0,rotten,"Comedy,Romance",57,,70,A Few Best Men,2010,2011,15,critic
488,AUDIENCE FRESH,100,0,fresh,"Comedy,Thriller",67,,71,A Film with Me in It,2005,2008,60,audience
489,CRITIC FRESH,100,0,fresh,"Comedy,Thriller",67,,71,A Film with Me in It,2005,2008,62,critic
490,AUDIENCE ROTTEN,100,0,rotten,Comedy,48,,72,A Glimpse Inside the Mind of Charles Swan III,2010,2012,26,audience
491,CRITIC ROTTEN,100,0,rotten,Comedy,48,,72,A Glimpse Inside the Mind of Charles Swan III,2010,2012,15,critic
492,AUDIENCE FRESH,100,0,rotten,"Animation,Adventure,Comedy",68,,73,A Goofy Movie,1995,1995,70,audience
493,CRITIC ROTTEN,100,0,rotten,"Animation,Adventure,Comedy",68,,73,A Goofy Movie,1995,1995,53,critic
494,AUDIENCE FRESH,100,1,fresh,"Crime,Drama",70,,74,A Guide to Recognizing Your Saints,2005,2006,74,audience
495,CERTIFIED FRESH,100,1,fresh,"Crime,Drama",70,,74,A Guide to Recognizing Your Saints,2005,2006,76,critic
496,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Fantasy",51,346.0,75,A Haunted House,2010,2013,51,audience
497,CRITIC ROTTEN,100,0,rotten,"Comedy,Fantasy",51,346.0,75,A Haunted House,2010,2013,10,critic
504,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Fantasy",47,21.0,76,A Haunted House 2,2010,2014,43,audience
505,CRITIC ROTTEN,100,0,rotten,"Comedy,Fantasy",47,21.0,76,A Haunted House 2,2010,2014,8,critic
508,AUDIENCE FRESH,100,1,fresh,"Crime,Drama,Thriller",75,,77,A History of Violence,2005,2005,76,audience
509,CERTIFIED FRESH,100,1,fresh,"Crime,Drama,Thriller",75,,77,A History of Violence,2005,2005,87,critic
510,AUDIENCE FRESH,100,0,rotten,"Drama,Romance",68,,78,A Home at the End of the World,2000,2004,67,audience
511,CRITIC ROTTEN,100,0,rotten,"Drama,Romance",68,,78,A Home at the End of the World,2000,2004,49,critic
512,AUDIENCE ROTTEN,100,0,rotten,"Crime,Drama,Thriller",53,,79,A Kind of Murder,2015,2016,14,audience
513,CRITIC ROTTEN,100,0,rotten,"Crime,Drama,Thriller",53,,79,A Kind of Murder,2015,2016,36,critic
514,AUDIENCE ROTTEN,100,0,rotten,"Crime,Mystery,Thriller",57,,80,A Kiss Before Dying,1990,1991,31,audience
515,CRITIC ROTTEN,100,0,rotten,"Crime,Mystery,Thriller",57,,80,A Kiss Before Dying,1990,1991,31,critic
516,AUDIENCE FRESH,100,1,fresh,"Drama,Music",71,,81,A Late Quartet,2010,2012,71,audience
517,CERTIFIED FRESH,100,1,fresh,"Drama,Music",71,,81,A Late Quartet,2010,2012,77,critic
518,AUDIENCE ROTTEN,100,0,rotten,"Drama,Romance",65,97.0,82,A Little Chaos,2010,2014,48,audience
519,CRITIC ROTTEN,100,0,rotten,"Drama,Romance",65,97.0,82,A Little Chaos,2010,2014,45,critic
536,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Musical,Romance",57,,83,A Little Night Music,1975,1977,25,audience
537,CRITIC ROTTEN,100,0,rotten,"Comedy,Musical,Romance",57,,83,A Little Night Music,1975,1977,11,critic
538,AUDIENCE FRESH,100,0,fresh,"Adventure,Comedy,Romance",75,8.0,84,A Little Romance,1975,1979,86,audience
539,CRITIC FRESH,100,0,fresh,"Adventure,Comedy,Romance",75,8.0,84,A Little Romance,1975,1979,69,critic
542,AUDIENCE ROTTEN,100,0,rotten,"Drama,Thriller",60,,85,A Little Trip to Heaven,2005,2005,42,audience
543,CRITIC ROTTEN,100,0,rotten,"Drama,Thriller",60,,85,A Little Trip to Heaven,2005,2005,33,critic
544,AUDIENCE FRESH,100,1,fresh,"Animation,Drama,Fantasy",75,,86,A Monster Calls,2015,2016,81,audience
545,CERTIFIED FRESH,100,1,fresh,"Animation,Drama,Fantasy",75,,86,A Monster Calls,2015,2016,86,critic
546,AUDIENCE FRESH,100,1,fresh,"Crime,Drama,Thriller",70,214.0,87,A Most Violent Year,2010,2014,69,audience
547,CERTIFIED FRESH,100,1,fresh,"Crime,Drama,Thriller",70,214.0,87,A Most Violent Year,2010,2014,89,critic
556,AUDIENCE FRESH,100,1,fresh,"Crime,Drama,Thriller",68,161.0,88,A Most Wanted Man,2010,2014,65,audience
557,CERTIFIED FRESH,100,1,fresh,"Crime,Drama,Thriller",68,161.0,88,A Most Wanted Man,2010,2014,87,critic
572,AUDIENCE FRESH,100,1,fresh,Horror,75,,89,A Nightmare on Elm Street,1980,1984,83,audience
573,CERTIFIED FRESH,100,1,fresh,Horror,75,,89,A Nightmare on Elm Street,1980,1984,94,critic
574,AUDIENCE ROTTEN,100,0,rotten,"Crime,Drama,Horror",52,,90,A Nightmare on Elm Street,2010,2010,43,audience
575,CRITIC ROTTEN,100,0,rotten,"Crime,Drama,Horror",52,,90,A Nightmare on Elm Street,2010,2010,15,critic
576,AUDIENCE ROTTEN,100,0,rotten,"Horror,Thriller",54,,91,A Nightmare on Elm Street 2: Freddy's Revenge,1985,1985,33,audience
577,CRITIC ROTTEN,100,0,rotten,"Horror,Thriller",54,,91,A Nightmare on Elm Street 2: Freddy's Revenge,1985,1985,40,critic
578,AUDIENCE FRESH,100,0,fresh,"Action,Fantasy,Horror",66,,92,A Nightmare on Elm Street 3: Dream Warriors,1985,1987,67,audience
579,CRITIC FRESH,100,0,fresh,"Action,Fantasy,Horror",66,,92,A Nightmare on Elm Street 3: Dream Warriors,1985,1987,74,critic
580,AUDIENCE ROTTEN,100,0,rotten,"Horror,Thriller",57,,93,A Nightmare on Elm Street 4: The Dream Master,1985,1988,43,audience
581,CRITIC ROTTEN,100,0,rotten,"Horror,Thriller",57,,93,A Nightmare on Elm Street 4: The Dream Master,1985,1988,56,critic
582,AUDIENCE ROTTEN,100,0,rotten,"Fantasy,Horror,Romance",51,,94,A Nightmare on Elm Street 5: The Dream Child,1985,1989,32,audience
583,CRITIC ROTTEN,100,0,rotten,"Fantasy,Horror,Romance",51,,94,A Nightmare on Elm Street 5: The Dream Child,1985,1989,33,critic
584,AUDIENCE FRESH,100,0,fresh,"Adventure,Drama,History",74,,95,A Passage to India,1980,1984,78,audience
585,CRITIC FRESH,100,0,fresh,"Adventure,Drama,History",74,,95,A Passage to India,1980,1984,85,critic
586,AUDIENCE ROTTEN,100,0,fresh,"Adventure,Mystery,Thriller",65,167.0,96,A Perfect Getaway,2005,2009,52,audience
587,CRITIC FRESH,100,0,fresh,"Adventure,Mystery,Thriller",65,167.0,96,A Perfect Getaway,2005,2009,61,critic
602,AUDIENCE ROTTEN,100,0,rotten,"Crime,Drama,Thriller",65,124.0,97,A Perfect Murder,1995,1998,51,audience
603,CRITIC ROTTEN,100,0,rotten,"Crime,Drama,Thriller",65,124.0,97,A Perfect Murder,1995,1998,55,critic
636,AUDIENCE FRESH,100,0,fresh,"Crime,Drama,Thriller",75,,98,A Perfect World,1990,1993,84,audience
637,CRITIC FRESH,100,0,fresh,"Crime,Drama,Thriller",75,,98,A Perfect World,1990,1993,79,critic
638,AUDIENCE ROTTEN,100,0,rotten,"Action,Crime,Drama",64,,99,A Prayer for the Dying,1985,1987,54,audience
639,CRITIC ROTTEN,100,0,rotten,"Action,Crime,Drama",64,,99,A Prayer for the Dying,1985,1987,56,critic
640,AUDIENCE FRESH,100,0,fresh,Comedy,66,,100,A Private Function,1980,1984,63,audience
641,CRITIC FRESH,100,0,fresh,Comedy,66,,100,A Private Function,1980,1984,86,critic
642,AUDIENCE FRESH,100,0,fresh,"Crime,Drama,Thriller",78,,101,A Pure Formality,1990,1994,88,audience
643,CRITIC FRESH,100,0,fresh,"Crime,Drama,Thriller",78,,101,A Pure Formality,1990,1994,80,critic
644,AUDIENCE FRESH,100,0,fresh,"Comedy,Drama",76,,102,A Room for Romeo Brass,1995,1999,92,audience
645,CRITIC FRESH,100,0,fresh,"Comedy,Drama",76,,102,A Room for Romeo Brass,1995,1999,68,critic
646,AUDIENCE FRESH,100,1,fresh,"Biography,Drama,History",76,210.0,103,A Royal Affair,2010,2012,82,audience
647,CERTIFIED FRESH,100,1,fresh,"Biography,Drama,History",76,210.0,103,A Royal Affair,2010,2012,89,critic
662,AUDIENCE FRESH,100,0,fresh,"Animation,Crime,Drama",71,2838.0,104,A Scanner Darkly,2005,2006,74,audience
663,CRITIC FRESH,100,0,fresh,"Animation,Crime,Drama",71,2838.0,104,A Scanner Darkly,2005,2006,68,critic
678,AUDIENCE FRESH,100,1,fresh,"Comedy,Drama",70,1446.0,105,A Serious Man,2005,2009,67,audience
679,CERTIFIED FRESH,100,1,fresh,"Comedy,Drama",70,1446.0,105,A Serious Man,2005,2009,90,critic
696,AUDIENCE FRESH,100,0,fresh,"Crime,Drama,Mystery",72,,106,A Soldier's Story,1980,1984,82,audience
697,CRITIC FRESH,100,0,fresh,"Crime,Drama,Mystery",72,,106,A Soldier's Story,1980,1984,89,critic
698,AUDIENCE ROTTEN,100,0,rotten,"Action,Adventure,Horror",42,,107,A Sound of Thunder,2005,2005,18,audience
699,CRITIC ROTTEN,100,0,rotten,"Action,Adventure,Horror",42,,107,A Sound of Thunder,2005,2005,6,critic
700,AUDIENCE FRESH,100,0,fresh,"Comedy,Drama,Romance",74,,108,A Tale of Springtime,1990,1990,74,audience
701,CRITIC FRESH,100,0,fresh,"Comedy,Drama,Romance",74,,108,A Tale of Springtime,1990,1990,91,critic
702,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Drama",59,72.0,109,A Thousand Words,2010,2012,47,audience
703,CRITIC ROTTEN,100,0,rotten,"Comedy,Drama",59,72.0,109,A Thousand Words,2010,2012,0,critic
708,AUDIENCE FRESH,100,0,rotten,"Drama,Romance",74,,110,A Walk to Remember,2000,2002,78,audience
709,CRITIC ROTTEN,100,0,rotten,"Drama,Romance",74,,110,A Walk to Remember,2000,2002,27,critic
710,AUDIENCE FRESH,100,1,fresh,"Adventure,Drama,Sci-Fi",71,,111,A.I. Artificial Intelligence,2000,2001,64,audience
711,CERTIFIED FRESH,100,1,fresh,"Adventure,Drama,Sci-Fi",71,,111,A.I. Artificial Intelligence,2000,2001,73,critic
712,AUDIENCE FRESH,100,0,fresh,"Comedy,Crime,Drama",60,,112,ATL,2005,2006,86,audience
713,CRITIC FRESH,100,0,fresh,"Comedy,Crime,Drama",60,,112,ATL,2005,2006,62,critic
714,AUDIENCE ROTTEN,100,0,rotten,"Horror,Thriller",47,,113,ATM,2010,2012,23,audience
715,CRITIC ROTTEN,100,0,rotten,"Horror,Thriller",47,,113,ATM,2010,2012,9,critic
716,AUDIENCE ROTTEN,100,0,rotten,"Drama,Music,Mystery",49,,114,Abandon,2000,2002,31,audience
717,CRITIC ROTTEN,100,0,rotten,"Drama,Music,Mystery",49,,114,Abandon,2000,2002,16,critic
718,AUDIENCE ROTTEN,100,0,fresh,"Comedy,Romance",59,,115,About Adam,2000,2000,47,audience
719,CRITIC FRESH,100,0,fresh,"Comedy,Romance",59,,115,About Adam,2000,2000,68,critic
